Code,Created Time,Download,Upload,Traffic Limit Type,Traffic Limit,Used Data,Remaining Data,Price,Notes,Duration,Duration Type,Type,Portals,Portal Logout,Site Name,Print Comments,
"189670","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"556603","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"960575","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"505545","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"871364","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"059618","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"365536","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"955655","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"878308","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
"154181","Apr 26 2025 09:32:27 PM","","","","","","","",,"24.0Hours","Voucher Duration","Valid for 1 User","All Portals","Enable","Joetib ISP",""
